"","x"
"1",44.9288742739618
"2",31.3316729444583
"3",40.8989255739669
"4",32.3698438191462
"5",35.1157138142992
"6",43.2010986503347
"7",33.6385797882918
"8",32.5385799170847
"9",38.1550991662527
"10",42.8613748043087
"11",42.1761227379762
"12",30.7193491525491
"13",40.6048260806772
"14",38.9003047627345
"15",40.0627404379785
"16",31.0407335415784
"17",35.0390428820424
"18",39.655933502143
"19",36.6174808253875
"20",35.4908605176509
"21",34.2742085030835
"22",34.2340964291016
"23",25.1540611885302
"24",39.6806119576874
"25",35.1098885449124
"26",41.1144715997149
"27",36.5839412994937
"28",30.3980105999259
"29",37.3195320253891
"30",38.2600597989178
"31",40.7421251250886
"32",30.7758255709349
"33",32.0421022457925
"34",30.8153487832547
"35",42.7955256326132
"36",41.5786189082052
"37",40.5660159444351
"38",36.5512799478404
"39",44.4938928338256
"40",31.6149998522661
"41",43.1983551636292
"42",31.6768840793862
"43",33.3295256023305
"44",35.8225916408335
"45",36.9345666801617
"46",41.6234322430715
"47",34.4555412416817
"48",27.5760317537022
"49",33.3985023934782
"50",35.6241053797384
"51",40.4652848397621
"52",25.3158504865063
"53",39.728290359751
"54",21.1613214450495
"55",44.9210899169898
"56",28.3506845749825
"57",29.7488154737102
"58",36.5267660845463
"59",49.2287253054091
"60",46.6258054698667
"61",34.0451406297841
"62",26.919556031923
"63",27.2342918672277
"64",36.0349012922628
"65",36.7702266961023
"66",45.2101579062043
"67",35.7241488930581
"68",28.3085371894346
"69",49.4179125481519
"70",48.0994113504886
"71",31.663415488693
"72",34.4551205394616
"73",43.4093644926516
"74",32.9038567206382
"75",25.4165345867444
"76",45.6885623165073
"77",41.2820911760451
"78",39.7565821741569
"79",32.1419648171371
"80",37.5796783042857
"81",30.4078492181012
"82",47.5910081686032
"83",45.4982459048834
"84",39.6507404087749
"85",35.7132106335469
"86",29.6497466919849
"87",39.927803930808
"88",39.2087209896794
"89",40.4182353819409
"90",35.677756309802
"91",36.8335061732295
"92",32.397113522424
"93",37.8250782478871
"94",27.7076910955483
"95",28.9060646877301
"96",25.9498393956003
"97",28.6998737360299
"98",40.0968625407146
"99",33.1712783471966
"100",41.3387107373675
"101",49.5996675451496
"102",38.0963737732901
"103",43.3831285561618
"104",36.8726755468618
"105",46.4435482464143
"106",36.4275292623421
"107",42.3372348895182
"108",36.1259384880536
"109",36.7482469932065
"110",39.508446876008
"111",35.7429368514962
"112",46.5286724105065
"113",46.9781656453562
"114",35.3183145599678
"115",31.3031628061762
"116",30.3510207396543
"117",43.6446026770916
"118",36.85221964664
"119",34.5849303959863
"120",35.0968842287054
"121",37.8455965181949
"122",36.3415205674809
"123",39.2478625988619
"124",34.8449169524402
"125",30.3349331202507
"126",43.4862285350869
"127",35.6986353675774
"128",40.1967981722806
"129",27.2463467645013
"130",39.6003879514757
"131",33.9697102068152
"132",43.8870981003326
"133",34.3433183908805
"134",30.8583256121238
"135",32.0213551356215
"136",47.0358911867998
"137",29.0567112238009
"138",39.0138631785623
"139",50.6674910770624
"140",25.0555485463382
"141",40.9744537166642
"142",19.4957966678343
"143",27.4075856037039
"144",41.5610732677911
"145",29.7933651674205
"146",47.6726128008631
"147",32.3606534252191
"148",29.2778792329447
"149",37.7161162421914
"150",39.4324434257824
"151",30.1895300702804
"152",22.8011117896314
"153",41.6872353815344
"154",37.0173435222807
"155",38.4950099426836
"156",48.3663864385484
"157",28.6900807508443
"158",36.2568656184376
"159",42.9167139459327
"160",27.9318142752105
"161",32.1166388481807
"162",38.3272323756785
"163",31.8709360885203
"164",32.4522809960014
"165",46.490251732872
"166",29.6219910577102
"167",37.067230678685
"168",34.9285199494356
"169",40.7171192190882
"170",41.8059214942374
"171",33.0287192091301
"172",34.0191388286496
"173",36.1828915819627
"174",35.6670364633754
"175",41.8482977429818
"176",37.4712575653511
"177",32.8004542179268
"178",34.3548330691623
"179",33.6538185889173
"180",32.2715755575313
"181",37.1604063695729
"182",48.6312441597347
"183",37.3080823332193
"184",30.8324326928278
